0111
0037
FEAE
004C
031E
05AB
05AB
031E
004C
FEAE
0037
069A 0127
0692 026D
0545 02D0
03BE 0166
02B3 7E65
0216 7B32
0156 797F
0003 7A1B
7E26 7C67
7C2C 7EBD
7A95 7F94
79AE 7E6F
7975 7C2A
799B 7A5A
79BE 7A49
79C2 7C12
7A19 7E7A
7B8B 7FBB
7E76 7ED5
020E 7C79
0480 7AD1
0425 7BFE
00E2 0059
7C74 05D6
7948 092A
78B6 0802
7A44 02AC
7C65 7BFE
7E03 779C
7F47 77C9
0118 7C41
03E3 028D
06FD 0785
091B 08F6
0963 06AC
081A 0264
0672 7EAB
05C3 7D3E
06B9 7DEF
08DF 7EDF
0AAD 7E00
0A4C 7AC9
06B2 76B7
0097 7427
7A5D 7488
769E 7766
765A 7AFB
7847 7D88
7A0A 7E33
7A66 7D02
7A44 7A7A
7B99 779A
7F1E 75F6
0310 772A
0471 7B7A
019A 00D7
7BD4 03C4
7667 01F8
7407 7CB2
74FE 784B
7793 78E9
7A02 7EEB
7BF5 0644
7E2B 0997
00FF 0675
038D 7F3E
045E 791A
02E5 77F9
003C 7BE9
7E3F 0198
7DF9 051F
7ECD 04A5
7F28 012B
7DF6 7D7A
7B89 7C47
7921 7EA1
77BE 0360
7762 07CC
7774 094B
77C3 0738
78EB 0368
7BA2 00CE
7F95 0108
031F 0317
0470 0482
0339 03EF
012F 029D
00A0 0316
0244 063F
0470 09C8
049D 09DC
0202 04AE
7EB3 7C83
7DE1 761C
00C8 74E5
0538 785F
0754 7D02
0503 7F83
7FC6 7F41
7B36 7DE9
79A7 7D2A
7A45 7D21
7A7D 7CD8
7911 7BE8
7792 7B22
78B3 7B90
7D2C 7CFB
0271 7DCE
04A2 7C95
01DE 7996
7BDC 76E2
765B 76B2
741D 7990
7521 7DF1
7778 0175
7962 02AF
7A96 0207
7BD8 013C
7DBA 020A
7FE3 04FC
0167 08F6
0196 0BBC
0075 0B28
7EC4 068D
7DAB 7F79
7E4B 7929
0117 76D1
053B 79A7
08AE 0013
094F 06A9
0657 0A44
0108 09C1
7BC6 062A
7868 017C
7736 7D39
7763 79E1
7865 7776
7A92 7638
7E58 76A3
0302 78D6
067F 7C15
06C0 7F21
0380 012A
7ED5 025C
7BE6 035F
7CC5 044C
011E 042C
0697 01DB
0A71 7D71
0B20 78CD
08EF 7656
057E 76F2
02A0 7923
0148 7A53
010D 793A
009B 770B
7EC6 7627
7B90 7793
7856 79D3
76E7 7A7B
782A 78EB
7B66 7750
7ECE 789D
00D9 7D62
014C 02BE
0136 04D4
01F1 027D
03F6 7EAA
0677 7DC5
07E9 018D
0711 073F
03E2 09E5
7FB3 06B2
7C91 7F6A
7C0F 78C3
7E41 7686
019F 78D7
03FF 7CD7
040A 7F85
021C 7FFE
