1011
FE3A
0131
0207
02FD
039C
039C
02FD
0207
0131
FE3A
059D 7C53
0800 7E7E
0800 0255
043C 0615
7DC9 07B2
7823 05F7
76D5 0147
7A9A 7B9E
008B 77A8
044D 7760
0381 7AF9
7F76 00C7
7BB7 0631
7AEC 091E
7CE3 08D9
7F59 0608
0077 01EB
0068 7DA2
00BB 79F0
027C 7760
04FD 766F
067E 7777
05D8 7A70
037C 7ED1
00F3 0396
7F80 077E
7F2D 0964
7EF0 08B4
7DA0 05CA
7ADC 01E3
7766 7E86
74CB 7CA8
7498 7C40
776C 7CB3
7C60 7DBA
0141 7FC2
03BF 0332
02D9 0748
7F90 09ED
7C3B 0921
7AF5 04F4
7C42 001B
7EE2 7E16
00D6 0048
00C3 048D
7EB3 06E9
7BE9 04EB
79FE 7FD6
79F0 7B6E
7B94 7A9A
7DB7 7CFE
7EC8 7FC9
7DC5 00B2
7ADF 001B
776A 0021
751D 01CB
7522 0375
7783 0262
7B46 7DDA
7EF3 7884
012C 763C
0133 7859
7F38 7C33
7C59 7D98
7A3B 7AF5
7A2D 7704
7C65 762D
7FCE 7A17
02A5 7FD1
0381 0280
0211 000F
7F36 7B2A
7C9E 78A0
7C08 7AA3
7E70 7EA7
033F 0006
0815 7CC5
09D1 77C9
06AA 763E
0001 7AA0
7A15 0232
7933 0748
7E3D 0642
0587 0094
095F 7B34
0675 7A31
7E76 7D9B
7686 0251
7315 0564
74AB 068E
7877 077D
7B92 0937
7D9A 0A96
0027 0992
0425 05D3
0824 01AD
09A5 003C
07F4 0263
0557 05CE
0502 070E
07B7 04E3
0A97 0179
099F 0051
0391 02E0
7B83 071C
766D 0966
76FA 07D6
7B78 03D0
7FBC 006F
00E5 7F80
7F73 0001
7DEC 7F7D
7DD6 7CBB
7E3B 7901
7D13 76D4
79EA 7790
76D9 7A45
76DB 7CDE
7B09 7E35
0171 7F00
0689 00C9
07C8 040B
0538 0772
00FB 08E5
7DA7 0765
7CDB 03F9
7ECF 00F3
028C 0029
0669 01A9
08BE 03DF
08CA 04D4
073A 03A6
05AE 010F
0562 7EE5
0624 7ED8
06C1 015C
0693 0543
066C 0850
07B0 0868
0A43 04BC
0BCD 7E52
0998 779D
0391 735E
7D40 734F
7B23 7744
7E72 7D50
038D 02E6
04FA 0652
0080 0792
7982 07DF
7614 084F
797C 08A7
013D 0787
077E 03E9
086C 7E98
0543 7A40
0251 79AA
023E 7D90
0383 03D0
027C 08BD
7DC2 099B
782B 0649
7650 0116
7A16 7CF0
00A2 7B81
04A8 7C65
02EF 7DD2
7CC9 7DFE
769F 7C5F
743C 79F8
7640 78A8
7A8F 79C4
7EA9 7CFB
0172 004E
0329 0170
0442 7F8B
04A8 7C0A
0405 799B
027D 7A15
00D0 7D10
