0101
0033
FFDF
FEBE
01B7
077A
077A
01B7
FEBE
FFDF
0033
FF1F 06AD
FE95 07AE
FEEB 07D4
00CB 081C
0393 08C6
0550 08C9
043D 06E5
0088 035C
FCB1 0066
FBB9 0079
FEA4 03E3
0375 080A
06C5 0982
0688 0718
0398 02ED
00B5 0069
0011 00EF
01BF 028B
0433 020A
060D FE61
0730 FA11
084D F911
0995 FD25
0A31 0413
08FC 094E
05C0 097B
01AD 04C5
FE94 FE48
FDAA F989
FEE8 F848
0152 FA1D
03B9 FD81
0564 00F8
0639 0390
067E 04DC
067B 04D3
061F 03BD
04F2 0213
0279 004E
FEE5 FEDF
FB7B FE47
FA22 FF02
FC1E 0107
00E4 0346
0614 03E5
08D9 0186
07BB FCB5
0389 F824
FEA0 F701
FB33 FA93
F9F0 0105
F9E5 067F
F99F 07C3
F87D 044D
F73C FE85
F764 F9FC
FA09 F93C
FECF FC70
03DA 0191
06CC 059A
062D 0625
025D 02A0
FD69 FCAE
F9D0 F744
F8FD F4F5
FA72 F663
FC41 F9F1
FC71 FCFC
FA67 FDAE
F758 FC04
F56E F977
F649 F7B3
F9BF F7A9
FDD6 F975
FFFE FCBB
FED2 00CE
FB25 0499
F7A9 06CE
F73D 06B6
FB17 04F4
01EE 034C
08C3 032E
0CAA 043A
0C5C 0462
089F 01D0
0385 FD0B
FF10 F91B
FC56 F939
FB58 FDDB
FB84 03E1
FC39 06C2
FD19 040E
FDFB FD52
FECE F6CD
FF8C F430
0046 F61F
0131 FA3E
0287 FD5E
0452 FDC5
0647 FBE9
07E0 F998
08AB F8A8
0895 FA0F
07EE FDA8
0721 0246
0663 060E
05A1 0743
04AE 0548
0376 0145
01FE FDA3
006B FCA0
FF20 FEDD
FED5 030E
003E 06E6
033F 0877
0653 0711
0722 0366
0450 FF1C
FF1D FC26
FB1A FBEA
FB98 FE4C
00B8 015A
06E1 023B
0973 FF4F
06AC F9E5
013C F5CF
FDF4 F6AE
FF84 FCDB
0419 04BA
