1001
FF2E
FF72
01FA
02F2
046D
046D
02F2
01FA
FF72
FF2E
FCEB 0101
F81D FF99
F51C FD1C
F6E1 FA2C
FD16 F821
03D7 F883
0689 FBED
0367 0124
FCC8 057B
F733 069C
F60D 046E
F979 016A
FEC0 00B1
0262 0359
0250 075C
FF0B 092F
FB55 06BC
FA88 0124
FE44 FBB3
04D5 F90D
09D9 F94A
094E FA7F
02E9 FAFC
FAD0 FAEA
F68B FBB2
F88A FE0B
FE28 00CD
022B 01D0
017D FFF7
FDC1 FC57
FB61 F957
FD23 F8B7
018F FA58
048A FCC2
035E FEA3
FF29 FFCC
FB9B 00E4
FB82 0276
FE7E 046F
01BE 065B
02B3 07DE
0106 08B7
FE7B 0880
FD46 06AF
FE72 0322
014D FEB9
03E8 FB37
0437 FA4C
0159 FC84
FC69 00E7
F820 0581
F726 083F
FA08 07AA
FE9E 036F
018F FCCF
00DF F696
FD55 F405
F98A F6C5
F78F FD47
F76C 0337
F7A8 0474
F726 0068
F66F FAD7
F74C F8FB
FB24 FD1A
01A1 0478
0885 0991
0CBD 08C8
0C06 034C
066A FDBC
FEB2 FBE0
F93D FDA3
F963 FFD8
FEF3 FFB9
05F0 FD6A
0941 FB3E
0697 FACF
0051 FB55
FB83 FAE9
FBB2 F939
000D F87B
0494 FB53
05F9 01AD
046C 07E9
02C2 0982
0324 04E5
04B7 FCEF
0496 F697
00F4 F506
FB2A F777
F695 FA92
F59E FB9E
F7C9 FA8A
FA91 F945
FBE2 F980
FBC0 FB26
FBC1 FCCB
FD51 FD45
0077 FCA9
0418 FBF1
06FD FBDF
0877 FC50
0854 FC9C
06AD FC60
03FD FBF6
015C FC18
0024 FD3C
011C FF34
03AA 0165
0602 0327
063E 03FF
039E 038F
FEFE 0194
FA4F FE21
F786 F9F2
F7AD F67A
FA81 F553
FEA3 F75E
0244 FC1B
040E 01C6
03D0 0622
027C 0784
0161 058D
0120 014A
013D FCB1
00A6 F9CB
FED3 F9BB
FC7E FC2E
FB3D FF72
FC54 0172
FFA8 0104
03A1 FEA5
060E FC02
0569 FA87
01B2 FA4E
FC7C FA45
F839 F96A
