1001
FF2E
FF72
01FA
02F2
046D
046D
02F2
01FA
FF72
FF2E
0716 FBD9
0120 FD53
F9CD FF27
F667 FF3D
F911 FCDA
FED3 F953
0232 F6E0
000D F696
FA5E F784
F66E F7D4
F837 F6CF
FF2E F5C5
0709 F6ED
0B72 FB40
0B1C 0161
07E1 068E
047B 08B3
0276 07DC
01E1 05DA
0256 04B0
03B1 0520
05AB 066D
073F 072D
06EF 0649
040E 0384
FFB5 FF6C
FC58 FB08
FC1B F77D
FF56 F5A9
045F F5C7
08AA F746
0A31 F90D
084F FA0F
03D8 F9E1
FECE F8DC
FB9C F7C9
FC00 F755
FFEC F7B0
0545 F8A3
0914 F9DA
0976 FB32
06CD FCC7
0324 FEBC
0048 00EF
FE7B 02D8
FCF6 03BE
FB8A 0329
FB69 013A
FE07 FEB7
0313 FCA4
07E9 FBCA
096C FC5B
06D3 FDF5
0298 FFD5
0071 012C
0202 0168
0566 0074
06F3 FED3
0498 FD79
FFAB FD54
FB93 FEBA
FABC 0113
FCC9 0322
FF6B 03B7
00C1 0259
00C8 FF82
00AC FC53
00FF F9F7
00F0 F921
FF3B F9C2
FBCE FB23
F850 FC45
F6FE FC68
F8E4 FB88
FD17 FA53
0183 F9AD
047A FA0D
05B0 FB33
05F9 FC7A
0636 FD75
068A FE24
0652 FE92
04D3 FE66
01FF FCF2
FEA9 FA04
FC1B F6B3
FB54 F522
FC61 F731
FE40 FCE5
FF68 03EE
FEB4 08C4
FC24 08C2
F90D 03C0
F769 FC3C
F8A0 F5FA
FC88 F411
0135 F759
03FA FE12
030C 04E5
FEC0 08BC
F982 088E
F66B 05DA
F771 0387
FC50 03B9
02E6 0647
0879 08E6
0B10 090B
0A1D 05E2
0673 00E9
01C7 FCBD
FDE7 FB45
FBE6 FCAB
FB83 FFA2
FB6B 025B
FA58 034F
F84F 019E
F6A8 FD51
F6BC F7BD
F844 F361
F94B F2D2
F810 F708
F532 FE5D
F3BE 055A
F69D 08E1
FD80 0821
0475 04B8
06E7 011D
03A8 FEC8
FE27 FD87
FBA2 FC48
FEAD FA68
04F5 F864
092E F789
0761 F91A
FFEA FD6D
F700 035E
F191 0873
F219 09F1
F77F 06A8
FE20 003A
0214 FA8C
0156 F938
FCE6 FCBD
F837 01E9
F705 0464
