1011
FE3A
0131
0207
02FD
039C
039C
02FD
0207
0131
FE3A
05FC 00B5
082D 03EC
088C 0763
065D 0934
024B 08EB
7E38 07F0
7C1B 0815
7CAB 0996
7F02 0AA7
016D 0923
02C4 04B9
0324 7F6E
0384 7BEA
048E 7B37
05E5 7C1B
065D 7C85
0509 7B8A
020C 7A14
7E8E 79CF
7BD8 7B92
7A78 7E96
7A18 0106
7A25 012A
7A96 7E7F
7BF5 7A46
7E99 773F
01D9 7841
0427 7E1A
0421 0621
01B3 0B42
7E2D 0980
7B46 018A
7A04 78FC
7A99 7658
7D0B 7BAD
018E 0497
07AD 09C2
0D31 0717
0E9F 7F20
09CF 78A8
00B0 78BB
790C 7E95
7873 04E3
7F4C 06D3
07BE 040A
0A37 0014
041B 7E6A
7A6C 7F3C
759D 7FDF
79F8 7DF7
03B9 79EC
0A87 7652
092A 7541
0223 7685
7CC8 7857
7DE1 7999
031B 7AF9
05BC 7DD6
01B1 0232
79DD 060E
7556 0712
7883 04E0
00FD 01AE
0824 0058
0985 01BB
0696 03FF
044D 0497
0582 0307
0823 018B
07E7 02CF
0373 06D8
7E3E 0A60
7D33 098B
0178 03A7
06D7 7C60
078E 78EE
01D8 7BAE
79DF 021A
762A 070B
79EF 072A
0277 0392
09AA 0069
0B32 00FC
078E 0506
02D4 0963
00CD 0B27
0215 0A01
0474 07FB
0574 073A
0489 0817
030A 0931
0282 08EA
033D 06BA
044F 0342
04B9 7F85
043B 7C4C
031D 7A2C
015E 79B7
7E85 7B4B
7A70 7E83
764D 0207
7472 0422
76B5 03E2
7C9A 01C6
0326 7F74
06E5 7EA1
069E 0006
043B 0307
02E6 0648
03F5 0888
0596 093E
0499 088A
7FC7 06D0
7997 045A
7661 0155
78A0 7E19
7EC9 7B4C
04C3 79BC
0794 79EE
07A4 7BD7
0783 7EDE
089E 021E
097A 04BD
075B 0613
01AB 05C5
7B5F 03EE
7899 0151
7AB4 7F42
7EB5 7F0B
0007 0127
7D07 04BE
78DA 07E4
788D 08B6
7E12 0686
05ED 026A
09EE 7EAE
068F 7D80
7DFE 7F9B
7610 03D4
733E 07DC
7552 09A4
78AB 0872
7A68 04FC
7B1B 00A4
7D74 7C98
0298 797F
081E 779A
09F6 76ED
0660 772A
7FD8 77AD
7AF7 77F8
7A4D 7864
7C59 7A1C
7DA2 7DF4
7CA2 02E5
7B78 0609
7D72 04BB
0311 7F60
08C0 79D8
09ED 7896
058F 7C7D
7F95 01A6
7D86 02AE
015A 7DF3
0774 7790
09CF 75C2
0566 7ACC
7CE9 0261
764C 056B
75AD 00E2
7A3F 7904
7FB3 7597
024D 7A90
01BD 0434
0076 0A68
00C1 0819
02A6 7F9C
044E 7821
0400 7703
0199 7B77
7E56 0059
7BA4 01B0
7A37 003B
7A16 7FD2
7B08 02D5
7CB9 078A
7EAA 09DB
003A 0750
0106 0141
0133 7B4E
0137 7815
0156 778A
015F 781E
00F3 78F8
7FF0 7AB6
7E8F 7E3C
7D13 0311
7B8C 0745
7A13 08F5
792D 07D7
79B2 0565
7C0B 0394
7F66 0373
01D1 04AD
017A 0620
7E2B 06AB
79C1 05CD
7724 03E2
7860 020C
7D58 01A8
03E5 0369
091A 0691
0ACF 0915
0879 08FF
0321 05F5
7CC2 019D
7783 7E5F
7507 7D7C
75F4 7E4B
79AF 7F2C
7E8C 7F4E
0274 7F6F
03DB 00D9
0278 03B0
7F59 064F
7C22 0683
7A1D 038C
7994 7F0C
7A03 7C06
7AB8 7CB0
7B62 00EB
7C17 065E
7CFB 0A04
7DFD 09E7
7EFF 060E
001C 002E
019D 7AAE
0376 7767
04CD 76DD
045B 782E
017B 79D9
7D25 7AD8
79BE 7B4D
7996 7C3F
7D26 7E9C
0278 0250
0663 0639
06A5 08E7
0355 0995
7E99 089A
7B21 071A
7A7D 062D
7C69 062A
7F46 0674
0139 05EA
0132 03C4
