1011
FE3A
0131
0207
02FD
039C
039C
02FD
0207
0131
FE3A
7E4B 03F0
01C9 03AA
04B4 0318
041E 0358
7F93 04B2
79DE 062E
7710 0673
7968 0528
7FB8 037F
066E 0343
0A44 0524
0A5C 07D7
0849 08FB
065F 0710
05DD 02C0
0645 7E49
061F 7B97
0453 7AC6
011F 7A73
7E0B 795B
7CF6 77B4
7ED1 76DF
02DB 77E7
06E1 7A67
088A 7CF8
06D8 7E9E
02CF 7F8F
7EC1 0092
7CBC 01A0
7D2D 0197
7ED3 7F70
7FE2 7BCE
7F91 7907
7EBB 7941
7F1E 7C45
01D6 7F53
062B 7F68
09BA 7C08
09F9 77F1
05FF 76DF
7F66 7A4E
798B 001B
77A0 0438
7AD2 03F6
018E 000F
0849 7BCD
0B51 7A47
08BD 7C13
0198 7F51
7990 0191
7521 01CB
76EF 00AB
7DE2 7F5B
0594 7E42
093E 7CEF
0725 7B22
01D5 7985
7DE4 793C
7DF7 7A9A
00AA 7C76
024B 7D1B
00C6 7C0C
7DEB 7AC5
7D8D 7B76
0146 7EBD
063C 02BE
0774 04AB
02A8 037E
7AE3 0109
7609 0017
778D 0153
7D7C 024E
02AC 0002
03D0 7A75
0255 75A3
023E 762C
0577 7CAF
097D 0480
09DC 0768
04D2 0346
7D64 7C24
78B9 78A0
7968 7BED
7D4B 02F3
7FC6 0749
7E28 0514
79D7 7E57
76AE 78DD
7759 7907
7B3A 7E55
7F57 047F
00F3 0765
7F66 062B
7C02 0310
78C0 0108
7719 0183
7796 03FD
79D6 06E3
7CBB 08AD
7ED7 087C
7F30 0669
7DE7 0377
7C22 00FF
7B26 7F9F
7B73 7EA7
7CAC 7CD1
7E57 79FB
0078 77F6
033F 7936
0627 7E39
07B9 0437
068E 06F5
02C4 046B
7E5E 7EE7
7BDE 7B5D
7C45 7D38
7E36 0370
7F3E 0994
7DFD 0BAD
7B53 0947
7979 050C
79FF 01D6
7C80 0065
7F28 7FCA
0054 7F70
7FC3 001E
7E78 02BC
7DAB 066F
7DE8 088A
7F05 06E5
0093 0243
0232 7E31
0380 7E22
03F8 0252
032F 075D
014A 0902
7F2D 058D
7E10 7F13
7ECB 799F
015F 7826
04FD 7AB5
0872 7EE0
0A9A 01B2
0AB7 018D
08B3 7EE2
0539 7BB7
017C 7A63
7E90 7C0F
7CC0 7FD5
7B82 0342
7A2A 041D
78C6 0255
7844 003E
799A 009B
7CA5 03DA
7FE6 0736
018D 06DC
00F8 018D
7F4A 7A5B
7E6C 7694
7F52 797B
010B 017F
0199 0985
7FC2 0D14
7C50 0B81
7981 077C
7945 03D0
7BBA 00E7
7F36 7D6D
01A9 7900
0210 75AF
00C0 7662
7EA6 7BBA
7C6C 02C5
7A6C 0723
792D 06AF
7982 0327
7BC6 0043
7EEB 0026
00B7 01B2
7F64 0210
7B6B 7FC0
7791 7BF8
76D1 7937
79BE 78C6
7DCF 79C0
7F73 7A68
7D33 7A30
7910 7A3D
76CA 7C0D
78A2 7FBF
7D78 03C8
01E2 062A
0322 05F1
012B 03C8
7E27 0162
7C43 0082
7C18 021B
7CEC 05B7
7E23 0956
000A 0A39
0324 06AE
06E1 7FBE
096C 791D
08FD 76B7
058B 7996
0121 7EDC
7E66 0217
7E88 010F
0063 7D8E
018A 7B64
0049 7C8E
7CF7 7F3D
79A4 7FC4
7889 7C83
7A97 77EB
7EFF 767F
03E2 7AAB
0760 0286
085C 0973
06BB 0C08
0335 0A80
7EF0 07B7
7B15 0611
7876 0580
7753 045D
776B 01C6
785E 7EF6
7A07 7E35
7C8A 00A8
7FEC 0520
038F 08FA
0622 0A2E
064F 0899
03B9 05C7
7F76 0399
7B93 030C
79E3 03DD
7AF4 04F9
7DE9 0521
012B 038E
036E 0059
0435 7C97
03CA 79EA
02D3 7994
01D9 7BA3
00FE 7EDB
7FFB 0197
7E78 02FB
7CAB 0381
7BA7 0459
