1001
FF2E
FF72
01FA
02F2
046D
046D
02F2
01FA
FF72
FF2E
049E FA09
FFCE F96B
FB30 FA56
FB59 FC88
00EF FF8A
078B 02D6
0952 05DE
0439 0808
FBF8 08D9
F6CA 082D
F807 0648
FD87 03BD
01FC 0147
01BD FFA7
FD9E FF7D
F98F 0106
F8E4 03CA
FBAD 06AD
FF1C 086B
FFFD 0848
FD12 065D
F7CA 034C
F35C FFAA
F2E6 FBC3
F779 F803
FF0C F55A
054F F503
066F F78D
0216 FBFD
FC0B 0004
F960 015F
FC29 FF5D
0198 FB56
0466 F7A2
019B F5F4
FB55 F66A
F6DF F7DD
F7E6 F908
FD3C F98D
0206 FA1A
0212 FBC7
FD36 FF1B
F710 037E
F3DE 0763
F577 092F
FAA5 084D
0095 05BD
04B0 038C
059B 036D
0370 056D
FFA6 07CD
FC7A 084F
FBD0 05F6
FDF4 01E9
016F FEC7
043A FEE2
055D 02A3
0562 0833
053D 0C72
050D 0CB9
0433 0858
029D 011C
0194 FA72
02B8 F78A
0606 F978
091E FE9E
0918 03E4
0551 06F4
0060 07B4
FDF3 07BC
FF7A 0861
02D4 0944
045A 08D4
024E 0638
FE58 02A4
FBBC 007B
FC30 010D
FE5F 0334
FF73 0448
FDF1 029D
FB1A FEFE
F9A1 FBB2
FB22 FA25
FEAA F9A6
018B F88C
0185 F67A
FE5F F536
F9E1 F70E
F67A FC5A
F5CA 02A5
F7EB 0683
FBA3 0654
FF2D 036C
0120 00A5
011F FFDC
FFEA 00B7
FECB 0193
FE97 0168
FF05 00BD
FEED 00EC
FD53 02BC
FA66 05A6
F79B 0854
F6BC 09A6
F8A2 0968
FCB7 0845
0175 0749
056E 0738
07E9 0808
08C5 08AA
081E 0791
0644 03DB
0403 FE7A
029D FA25
030C F9AC
0506 FDBA
06CF 0403
066E 08CB
0359 09BE
FF0D 079D
FBD8 0535
FAD7 0491
FB17 0515
FAD1 0447
F972 008A
F85B FB0C
F965 F6F5
FC9B F6A5
FF99 F9A9
FF92 FD57
FC1C FF42
F802 FF0B
F70B FDEE
FA9C FCD3
005D FB4D
0439 F8AE
03E1 F5D3
00AC F551
FE30 F93E
FF07 00A0
02B6 0753
066F 0910
07A1 050F
05F3 FEE8
030E FBB3
00D0 FDCD
FFCD 0300
FF35 0690
FE02 053C
FBFA FFAF
F9D4 F98C
F88C F65F
F8BA F735
FA5A FA96
FD0A FE55
003B 0136
035B 0331
05E6 04AF
0792 05C4
085B 0616
0865 0553
07A8 0385
05C3 0115
0243 FEA4
FD43 FCE9
F7E3 FC77
F423 FD72
F3E5 FF58
F7A9 0144
FDE7 0284
03A0 030D
0601 035F
0405 03D3
FF10 0428
F9FB 03B7
F747 0232
F7BC 0024
FA4A FE9E
FD25 FE5F
FF0C FF32
